#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s)
8230,Apparition,Oct 2018,9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),MrCiastku,No Gravity Games
8231,Uventa,"Aug 24, 2018",4.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),BlackRat,BlackRat
8232,New Yankee 6: In Pharaoh's Court,"Sep 5, 2018",6.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Yustas Game Studio,Alawar Entertainment
8235,拖拉机,"Dec 1, 2018",3.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),乐吧工作室,乐吧工作室
8236,Quantum Replica,"May 31, 2018",15.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),ON3D Studios,1C Entertainment
8237,The Bonfire: Forsaken Lands,"Mar 9, 2018",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Xigma Games,Xigma Games
8238,Fat City,"Oct 22, 2018",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Heavy Iron Studios,"Heavy Iron Studios, Inc."
8239,Laplace：拉普拉斯的神子,"Oct 2, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),"X-Legend Entertainment Co., Ltd.","X-Legend Entertainment Co., Ltd."
8240,Dominari Empires,"May 14, 2018",4.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Tiny RTS,Tiny RTS
8241,VR Anatomy,"Oct 4, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),"Graham Kampmeier, Luis Luna, Ryan Haglund",Health Interactives
8242,TapSonic World Champion VR,"Jun 14, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),NEOWIZ,NEOWIZ
8244,Mystery Trackers: Black Isle Collector's Edition,"Sep 12, 2018",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Elephant Games,Big Fish Games
8245,Bible Test,"Nov 27, 2018",199.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),FIRST_UKRAINIAN,FIRST_UKRAINIAN
8246,Mountain Troll,"Jan 22, 2018",3.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),IndieLip,IndieLip
8247,Fortissimo FA INTL Ver,"Aug 23, 2018",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),"La’cryma, YAMAYURI GAMES",SakuraGame
8248,Macroboy Y,"Jul 19, 2018",3.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Hanged Bunny Studio,Hanged Bunny Studio
8250,FUTURE GPX CYBER FORMULA SIN VIER,"Dec 11, 2018",29.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),PROJECT YNP,PROJECT YNP
8251,Hentai Case Opening,"Sep 27, 2018",0.99,96% (63%),"0 .. 20,000",00:00 (00:00),RewindApp,RewindApp
8252,Bricks In The Box,"Jul 11, 2018",3.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Nanite Storm,Nanite Storm
8253,Math Speed Challenge,"May 22, 2018",4.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Red Dolphin Games,VT Publishing
8254,Tales of Nebezem: Elemental Link,"Feb 22, 2018",3.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),GrayTower,GrayTower
8255,The way to defeat the Archfiend / 打倒魔王的方法,"Jul 27, 2018",1.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),nitopu,Pujia8 Studio
8256,Stabby Machine,"Jul 31, 2018",1.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Challenge Yourself Gaming,Challenge Yourself Productions
8257,Odium to the Core,"May 11, 2018",4.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Dark-1,Dark-1
8258,Bitcoin,"Nov 12, 2018",0.49,N/A (N/A),"0 .. 20,000",00:00 (00:00),RewindApp,RewindApp
