#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s)
333,Iesabel,"Jul 7, 2013",4.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),NA,Forever Entertainment S. A.
344,MARVEL Puzzle Quest,"Dec 5, 2013",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Demiurge Studios,D3 Go!
346,Cities XL Platinum,"Feb 6, 2013",9.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Focus Home Interactive,Focus Home Interactive
347,King’s Bounty: Legions,"Dec 10, 2013",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Nival,Nival
351,Earth 2140,"Nov 15, 2013",4.99,N/A (N/A),"200,000 .. 500,000",04:31 (02:59),Reality Pump Studios,"Topware Interactive ACE, ACE"
365,fault - milestone one,"Aug 9, 2013",14.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),ALICE IN DISSONANCE,Sekai Project
366,Super Sanctum TD,"May 9, 2013",4.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Coffee Stain Studios,Coffee Stain Publishing
386,PAC-MAN Championship Edition DX+,"Sep 24, 2013",9.99,N/A (N/A),"200,000 .. 500,000",00:06 (00:02),"Mine Loader Software Co., Ltd.",BANDAI NAMCO Entertainment
387,Interstellar Marines,"Jul 2, 2013",9.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Zero Point Software,Zero Point Software
389,Toki Tori 2+,"Jul 11, 2013",14.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Two Tribes,Two Tribes
405,LOST PLANET 3,"Aug 26, 2013",24.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Spark Unlimited,Capcom
420,Knights of Pen and Paper +1 Edition,"Jun 18, 2013",9.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Behold Studios,Paradox Interactive
421,Zeno Clash 2,"Apr 30, 2013",14.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),ACE Team,SEGA
423,Champions of Regnum,"Feb 27, 2013",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),NGD Studios,NGD Studios
438,DLC Quest,"Mar 18, 2013",2.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Going Loud Studios,Going Loud Studios
439,Savant - Ascent,"Dec 4, 2013",1.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),D-Pad Studio,Studio V5
440,rFactor 2,"Mar 28, 2013",31.99,N/A (N/A),"200,000 .. 500,000",32:13 (16:06),Studio 397,Studio 397
441,Omerta - City of Gangsters,"Jan 31, 2013",14.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Haemimont Games,Kalypso Media Digital
457,Divinity: Dragon Commander,"Aug 6, 2013",39.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Larian Studios,Larian Studios
479,Pool Nation,"Oct 18, 2013",6.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Cherry Pop Games,Cherry Pop Games
481,Ys I & II Chronicles+,"Feb 14, 2013",14.99,N/A (N/A),"200,000 .. 500,000",00:06 (00:03),Nihon Falcom,XSEED Games
502,Electronic Super Joy,"Aug 23, 2013",7.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Michael Todd Games,Michael Todd Games
503,The 39 Steps,"Apr 25, 2013",4.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),The Story Mechanics,The Secret Experiment
510,Cobi Treasure Deluxe,"Dec 2, 2013",2.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Cobra Mobile,KISS ltd
519,Bridge Constructor,"Oct 16, 2013",9.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),ClockStone,Headup Games
522,Professional Farmer 2014,"Nov 27, 2013",14.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),PlayWay S.A.,United Independent Entertainment GmbH
525,Dungeon-Party,"Mar 13, 2013",Free,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Cyanide Studio,Bigben Interactive
540,The Typing of The Dead: Overkill,"Oct 29, 2013",19.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Modern Dream,SEGA
22,Giana Sisters: Twisted Dreams - Rise of the Owlverlord,"Sep 26, 2013",4.99,N/A (N/A/84%),"100,000 .. 200,000",00:00 (00:00),Black Forest Games,"HandyGames, Black Forest Games"
30,Desktop Dungeons,"Nov 7, 2013",14.99,N/A (N/A/82%),"100,000 .. 200,000",00:00 (00:00),QCF Design,QCF Design
58,Super House of Dead Ninjas,"Feb 18, 2013",6.99,N/A (N/A/79%),"100,000 .. 200,000",00:00 (00:00),Megadev,Adult Swim Games
60,TrackMania² Valley,"Jul 4, 2013",19.99,N/A (N/A/79%),"100,000 .. 200,000",00:00 (00:00),Nadeo,Ubisoft
72,Expeditions: Conquistador,"May 30, 2013",19.99,N/A (N/A/77%),"100,000 .. 200,000",00:00 (00:00),Logic Artists,THQ Nordic
78,Angry Video Game Nerd Adventures,"Sep 20, 2013",4.99,N/A (N/A/77%),"100,000 .. 200,000",00:00 (00:00),FreakZone Games,Screenwave Media
81,Syder Arcade,"Oct 24, 2013",9.99,N/A (N/A/76%),"100,000 .. 200,000",00:00 (00:00),Studio Evil,Studio Evil
88,Kairo,"Apr 24, 2013",4.99,N/A (N/A/76%),"100,000 .. 200,000",00:00 (00:00),Locked Door Puzzle,Lupus Studios Limited
90,Anodyne,"Mar 22, 2013",9.99,N/A (N/A/75%),"100,000 .. 200,000",00:00 (00:00),"Sean Han Tani, Marina Kittaka",Analgesic Productions
98,Ring Runner: Flight of the Sages,"Jul 9, 2013",4.99,N/A (N/A/75%),"100,000 .. 200,000",00:00 (00:00),Triple.B.Titles,Triple.B.Titles
105,Incredipede,"Mar 18, 2013",9.99,N/A (N/A/74%),"100,000 .. 200,000",00:00 (00:00),Colin Northway with art by Thomas Shahan,Northway Games
106,MirrorMoon EP,"Sep 4, 2013",14.99,N/A (N/A/73%),"100,000 .. 200,000",00:00 (00:00),Santa Ragione,Santa Ragione
109,PixelJunk Shooter,"Nov 11, 2013",8.99,N/A (N/A/73%),"100,000 .. 200,000",00:00 (00:00),"Double Eleven, Q-Games Ltd.",Double Eleven
110,Fieldrunners 2,"Jan 10, 2013",9.99,N/A (N/A/73%),"100,000 .. 200,000",00:00 (00:00),Subatomic Studios LLC,Subatomic Studios LLC
111,CastleStorm,"Jul 29, 2013",9.99,N/A (N/A/73%),"100,000 .. 200,000",00:00 (00:00),Zen Studios,Zen Studios
118,Guncraft,"Aug 9, 2013",14.99,N/A (N/A/73%),"100,000 .. 200,000",00:00 (00:00),Exato Games Studio,Reverb Triple XP
119,Super Splatters,"Jun 26, 2013",N/A,N/A (N/A/73%),"100,000 .. 200,000",00:00 (00:00),SpikySnail,SpikySnail
121,Aarklash: Legacy,"Sep 12, 2013",15.99,N/A (N/A/72%),"100,000 .. 200,000",00:00 (00:00),Cyanide Studio,Bigben Interactive
122,The Inner World,"Sep 27, 2013",14.99,N/A (N/A/72%),"100,000 .. 200,000",00:00 (00:00),Studio Fizbin,Headup
123,Skulls of the Shogun,"Jul 29, 2013",9.99,N/A (N/A/72%),"100,000 .. 200,000",00:00 (00:00),17-BIT,17-BIT
127,The Journey Down: Chapter One,"Jan 9, 2013",8.99,N/A (N/A/72%),"100,000 .. 200,000",00:00 (00:00),SkyGoblin,SkyGoblin
134,Lilly Looking Through,"Nov 1, 2013",9.99,N/A (N/A/71%),"100,000 .. 200,000",00:00 (00:00),Geeta Games,Libredia
142,Thunder Wolves,"May 15, 2013",9.99,N/A (N/A/69%),"100,000 .. 200,000",00:00 (00:00),Most Wanted Entertainment,HandyGames
149,A Valley Without Wind 2,"Feb 18, 2013",14.99,N/A (N/A/68%),"100,000 .. 200,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC"
153,Cubemen 2,"Apr 8, 2013",7.99,N/A (N/A/68%),"100,000 .. 200,000",00:00 (00:00),3 Sprockets,3 Sprockets
155,Ittle Dew,"Jul 23, 2013",9.99,N/A (N/A/67%),"100,000 .. 200,000",00:00 (00:00),Ludosity,Ludosity
160,10000000,"Jan 15, 2013",4.99,N/A (N/A/67%),"100,000 .. 200,000",00:00 (00:00),EightyEightGames,EightyEightGames
168,The Novelist,"Dec 10, 2013",9.99,N/A (N/A/66%),"100,000 .. 200,000",00:00 (00:00),Orthogonal Games,Maxistentialism
171,Final Exam,"Nov 5, 2013",9.99,N/A (N/A/66%),"100,000 .. 200,000",00:00 (00:00),Mighty Rocket Studio,Focus Home Interactive
176,Skyward Collapse,"May 23, 2013",4.99,N/A (N/A/64%),"100,000 .. 200,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC"
189,Violett Remastered,"Dec 13, 2013",9.99,N/A (N/A/61%),"100,000 .. 200,000",00:00 (00:00),Forever Entertainment S. A.,Forever Entertainment S. A.
191,StarDrive,"Apr 26, 2013",29.99,N/A (N/A/61%),"100,000 .. 200,000",00:00 (00:00),Zero Sum Games,Iceberg Interactive
199,Urban Trial Freestyle,"Sep 18, 2013",6.99,N/A (N/A/58%),"100,000 .. 200,000",00:19 (00:09),Tate Multimedia,Tate Multimedia
201,Prime World: Defenders,"Jun 5, 2013",9.99,N/A (N/A/58%),"100,000 .. 200,000",00:00 (00:00),Nival,Nival
202,Knock-knock,"Oct 4, 2013",9.99,N/A (N/A/57%),"100,000 .. 200,000",01:35 (01:35),Ice-Pick Lodge,Ice-Pick Lodge
205,Darkout,"Dec 4, 2013",14.99,N/A (N/A/55%),"100,000 .. 200,000",00:00 (00:00),Allgraf,KISS ltd
207,Deadfall Adventures,"Nov 15, 2013",19.99,N/A (N/A/53%),"100,000 .. 200,000",00:00 (00:00),The Farm 51,THQ Nordic
208,Speedball 2 HD,"Dec 5, 2013",9.99,N/A (N/A/53%),"100,000 .. 200,000",00:00 (00:00),Vivid Games,Mastertronic
212,Gomo,"Dec 6, 2013",4.99,N/A (N/A/50%),"100,000 .. 200,000",00:00 (00:00),Fishcow Studio,Daedalic Entertainment
216,Impire,"Feb 14, 2013",19.99,N/A (N/A/45%),"100,000 .. 200,000",00:00 (00:00),Cyanide Montreal,Paradox Interactive
218,DARK,"Jul 3, 2013",9.99,N/A (N/A/41%),"100,000 .. 200,000",00:00 (00:00),Realmforge Studios,Kalypso Media Digital
226,Castle of Illusion,"Sep 4, 2013",14.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),"SEGA Studios Australia, Feral Interactive (Mac)","SEGA, Feral Interactive (Mac)"
229,Small World 2,"Dec 11, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Days of Wonder,"Days of Wonder, Asmodee Digital"
230,Rising Angels: Reborn,"Oct 31, 2013",Free,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),IDHAS Studios,Sekai Project
258,DisplayFusion,"Mar 29, 2013",34.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Binary Fortress Software,Binary Fortress Software
262,Solar Flux,"Oct 24, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Firebrand Games,Firebrand Games
266,Unholy Heights,"Aug 16, 2013",3.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Petit Depotto,AGM PLAYISM
267,Enigmatis 2: The Mists of Ravenwood,"Sep 25, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Artifex Mundi,Artifex Mundi
268,Clockwork Tales: Of Glass and Ink,"Aug 8, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Artifex Mundi,Artifex Mundi
270,Helmet Heroes,"Mar 10, 2013",Free,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Helmet Games,Helmet Games
286,Super Amazing Wagon Adventure,"Oct 17, 2013",2.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),sparsevector,sparsevector
293,The chronicles of Emerland. Solitaire.,"Oct 4, 2013",3.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Rainbow Games,Rainbow Games
306,FootLOL: Epic Fail League,"Aug 7, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Lion's Shade,HeroCraft
308,Rush Bros.,"May 24, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),XYLA Entertainment,Digital Tribe
309,Ballpoint Universe - Infinite,"Dec 17, 2013",3.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Arachnid Games,Arachnid Games
310,Shufflepuck Cantina Deluxe,"Dec 6, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Agharta Studio,Agharta Studio
315,Chainsaw Warrior,"Oct 7, 2013",4.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Auroch Digital,Auroch Digital
326,Bleed,"Jul 3, 2013",4.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Ian Campbell,Ian Campbell
327,Type:Rider,"Nov 6, 2013",4.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Ex Nihilo,Plug In Digital
328,Finding Teddy,"Dec 3, 2013",6.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Storybird,"LookAtMyGame, Plug In Digital"
329,Demonicon,"Oct 24, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Noumena Studios,Kalypso Media Digital
330,Doorways: Prelude,"Sep 20, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Saibot Studios,Saibot Studios
331,Anomaly Warzone Earth Mobile Campaign,"Nov 6, 2013",4.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),11 bit studios,11 bit studios
345,Another World – 20th Anniversary Edition,"Apr 4, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),"Eric Chahi, DotEmu",The Digital Lounge
348,Axis Game Factory's AGFPRO v3,"Nov 19, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Axis Game Factory LLC,Axis Game Factory LLC
353,Reversion - The Meeting (2nd Chapter),"Mar 12, 2013",4.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),3f Interactive,3f Interactive
356,Pester,"Jan 25, 2013",0.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Flump Studios,KISS ltd
367,Dungeons & Dragons: Chronicles of Mystara,"Jun 18, 2013",14.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Iron Galaxy Studios,Capcom
373,Hive,"Nov 15, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),BlueLine Games,BlueLine Games
374,Ohm Studio,"Dec 9, 2013",Free,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),GRAOUMF,Ohm Force
393,7 Grand Steps: What Ancients Begat,"Jun 7, 2013",19.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Mousechief,Mousechief
410,Ravensword: Shadowlands,"Dec 6, 2013",6.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Crescent Moon Games,Crescent Moon Games
413,Wizardry 7: Crusaders of the Dark Savant,"Sep 10, 2013",4.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Sir-Tech,"Gamepot, Inc., Nightdive Studios"
419,If My Heart Had Wings,"Jun 28, 2013",14.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),MoeNovel,MoeNovel
424,Bridge Project,"Mar 28, 2013",19.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Halycon Media GmbH & Co. KG,THQ Nordic
427,The Apogee Throwback Pack,"Jul 1, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Interceptor Entertainment,Apogee Software
442,Coin Crypt,"Nov 18, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Greg Lobanov,Strategy First
452,BattleSpace,"Sep 27, 2013",N/A,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Funnel Inc.,Whybe Online
456,Soul Gambler,"Aug 1, 2013",2.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Ilex Games,Gamestorming
460,Not The Robots,"Dec 12, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),2DArray,tinyBuild
464,Jack Lumber,"Apr 30, 2013",4.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Owlchemy Labs,Owlchemy Labs
478,OMSI 2: Steam Edition,"Dec 11, 2013",29.99,N/A (N/A),"100,000 .. 200,000",05:10 (06:38),MR-Software GbR,Aerosoft GmbH
480,Marlow Briggs and the Mask of Death,"Sep 20, 2013",4.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Zootfly,505 Games
483,Cognition: An Erica Reed Thriller,"Sep 19, 2013",14.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Phoenix Online Studios,Phoenix Online Publishing
486,Mutant Mudds Deluxe,"Nov 21, 2013",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Renegade Kid,Good Shepherd Entertainment
488,Manhunter,"Jan 29, 2013",4.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Silden,KISS ltd
491,Jones On Fire,"Mar 14, 2013",2.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Glass Bottom Games,Glass Bottom Games
505,Clickteam Fusion 2.5,"Dec 5, 2013",99.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Clickteam,Clickteam
512,Huntsman: The Orphanage (Halloween Edition),"Sep 13, 2013",8.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),ShadowShifters,ShadowShifters
521,1953 - KGB Unleashed,"Sep 20, 2013",5.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),NA,United Independent Entertainment GmbH
546,Quintet,"Feb 1, 2013",Free,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Carmine T. Guida,Carmine T. Guida
34,Avadon 2: The Corruption,"Oct 30, 2013",9.99,N/A (N/A/82%),"50,000 .. 100,000",00:00 (00:00),Spiderweb Software,Spiderweb Software
63,Soundodger+,"Oct 11, 2013",7.99,N/A (N/A/78%),"50,000 .. 100,000",00:00 (00:00),Studio Bean,Adult Swim Games
80,Element4l,"May 24, 2013",8.99,N/A (N/A/77%),"50,000 .. 100,000",00:00 (00:00),I-Illusions,I-Illusions
84,ShootMania Storm,"Apr 10, 2013",19.99,N/A (N/A/76%),"50,000 .. 100,000",00:00 (00:00),Nadeo,Ubisoft
112,Dungeon Hearts,"Mar 28, 2013",2.99,N/A (N/A/73%),"50,000 .. 100,000",00:00 (00:00),Cube Roots,Devolver Digital
113,Paper Sorcerer,"Nov 21, 2013",4.99,N/A (N/A/73%),"50,000 .. 100,000",00:00 (00:00),Ultra Runaway Games,Ultra Runaway Games
124,Tetrobot and Co.,"Oct 22, 2013",9.99,N/A (N/A/72%),"50,000 .. 100,000",00:00 (00:00),Swing Swing Submarine,Swing Swing Submarine
130,March of the Eagles,"Feb 18, 2013",19.99,N/A (N/A/71%),"50,000 .. 100,000",00:00 (00:00),Paradox Development Studio,Paradox Interactive
143,Ironclad Tactics,"Sep 18, 2013",14.99,N/A (N/A/69%),"50,000 .. 100,000",00:00 (00:00),Zachtronics,Zachtronics
145,Foul Play,"Sep 18, 2013",14.99,N/A (N/A/69%),"50,000 .. 100,000",00:00 (00:00),"Mediatonic, The Irregular Corporation",Devolver Digital
151,Pandora: First Contact,"Nov 14, 2013",29.99,N/A (N/A/68%),"50,000 .. 100,000",00:00 (00:00),Proxy Studios,Slitherine Ltd.
162,Rise of Venice,"Sep 27, 2013",19.99,N/A (N/A/66%),"50,000 .. 100,000",00:00 (00:00),NA,Kalypso Media Digital
164,The Yawhg,"May 30, 2013",9.99,N/A (N/A/66%),"50,000 .. 100,000",00:00 (00:00),"Damian Sommer, Emily Carroll",Damian Sommer
169,Oozi: Earth Adventure,"Dec 5, 2013",4.99,N/A (N/A/66%),"50,000 .. 100,000",00:00 (00:00),Awesome Games Studio,Awesome Games Studio
170,Armada 2526 Gold Edition,"Feb 28, 2013",19.99,N/A (N/A/66%),"50,000 .. 100,000",00:00 (00:00),Ntronium Games,Iceberg Interactive
187,Oknytt,"Jul 8, 2013",4.99,N/A (N/A/61%),"50,000 .. 100,000",00:00 (00:00),Nemoria Entertainment,Nemoria Entertainment
193,Master Reboot,"Oct 29, 2013",14.99,N/A (N/A/59%),"50,000 .. 100,000",00:00 (00:00),Wales Interactive,Wales Interactive
194,Face Noir,"Oct 17, 2013",9.99,N/A (N/A/59%),"50,000 .. 100,000",00:00 (00:00),Mad Orange,Phoenix Online Publishing
195,Shattered Haven,"Mar 18, 2013",9.99,N/A (N/A/59%),"50,000 .. 100,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC"
203,Two Brothers,"Dec 3, 2013",N/A,N/A (N/A/57%),"50,000 .. 100,000",00:00 (00:00),Ackk Studios,Ackk Studios
219,The Chaos Engine,"Aug 29, 2013",9.99,N/A (N/A/40%),"50,000 .. 100,000",00:00 (00:00),"Abstraction Games, The Bitmap Brothers",The Bitmap Brothers
221,Dementium II HD,"Dec 17, 2013",N/A,N/A (N/A/37%),"50,000 .. 100,000",00:00 (00:00),Memetic Games,Missing Link Games
223,Citadels,"Jul 25, 2013",14.99,N/A (N/A/20%),"50,000 .. 100,000",00:00 (00:00),Games Distillery s.r.o.,HandyGames
227,Dominions 4: Thrones of Ascension,"Dec 5, 2013",34.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Illwinter Game Design,Illwinter Game Design
232,Zack Zero,"Apr 29, 2013",2.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Crocodile Entertainment,Crocodile Entertainment
246,Shadows: Price For Our Sins Bonus Edition,"Mar 21, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),8th Floor Games,"Encore, Viva Media"
260,MotoGP13,"Jun 20, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Milestone S.r.l.,"Plug In Digital, Milestone S.r.l."
261,Super Motherload,"Nov 15, 2013",14.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),XGen Studios,XGen Studios
271,Droid Assault,"Jan 9, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Puppygames,Puppygames
272,Tribloos 2,"Jan 12, 2013",4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),BumpkinBrothers,BumpkinBrothers
273,Absent,"Oct 3, 2013",Free,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),FNGames,FNGames
275,InFlux,"Jul 23, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Impromptu Games,Impromptu Games
289,Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,"Jun 27, 2013",N/A,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),nFusion Interactive,Replay Games
292,Realms of Arkania: Blade of Destiny,"Jul 29, 2013",14.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),"United Independent Entertainment GmbH, Crafty Studios",United Independent Entertainment GmbH
307,Nimble Quest,"Dec 6, 2013",4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),NA,Agharta Studio
311,Tiny Brains,"Dec 11, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Spearhead Games,Spearhead Games
334,Forbidden Planet,"Sep 23, 2013",N/A,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Faton,Faton
337,Namariel Legends: Iron Lord Premium Edition,"Jun 5, 2013",6.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Shaman Games Studio,PlayRIX
350,Primal Fears,"Jan 8, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),DnS Development,DnS Development
352,Bad Hotel,"Oct 16, 2013",4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Lucky Frame,Lucky Frame
368,The Shivah,"Nov 21, 2013",4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),NA,Wadjet Eye Games
369,Mini Motor Racing EVO,"May 1, 2013",4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),The Binary Mill,The Binary Mill
372,99 Spirits,"May 31, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),TORaIKI,Fruitbat Factory
375,Emergency 2014,"Nov 15, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Sixteen Tons Entertainment,Sixteen Tons Entertainment
390,Nightmares from the Deep 2: The Siren`s Call,"Jul 24, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Artifex Mundi,Artifex Mundi
392,Farm for your Life,"Jun 5, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Hammer Labs,Hammer Labs
396,VelocityUltra,"Dec 12, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),"Curve Digital, FuturLab",Curve Digital
407,Artemis Spaceship Bridge Simulator,"Sep 16, 2013",6.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),NA,Slitherine Ltd.
409,Time Mysteries 3: The Final Enigma,"Jan 13, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Artifex Mundi,Artifex Mundi
422,Dysfunctional Systems: Learning to Manage Chaos,"Apr 4, 2013",4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Dischan Media,Dischan Media
425,International Snooker,"Jan 11, 2013",12.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Big Head Games Ltd,Big Head Games Ltd
428,Airport Simulator 2014,"Dec 19, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),United Independent Entertainment GmbH,United Independent Entertainment GmbH
430,RaidersSphere4th,"Dec 31, 2013",19.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Rectangle,Sekai Project
458,Eryi's Action,"Nov 19, 2013",4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Xtal Sword,Xtal Sword
459,Kingdoms Rise,"Nov 18, 2013",14.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Flyleap Studios Pty. Ltd.,Flyleap Studios Pty. Ltd.
463,Gravity Badgers,"Nov 28, 2013",4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Wales Interactive,Wales Interactive
467,Castle: Never Judge a Book by its Cover,"Jul 9, 2013",N/A,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Gunnar Games,"Viva Media, GameMill"
484,Hate Plus,"Aug 19, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Love Conquers All Games,Love Conquers All Games
485,Left in the Dark: No One on Board,"Aug 20, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Moonrise Interactive,Artifex Mundi
487,Zafehouse: Diaries,"Sep 6, 2013",1.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Screwfly Studios,Screwfly Studios
489,Zombie Tycoon 2: Brainhov's Revenge,"Dec 9, 2013",4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Frima Studio,Frima Studio
490,Agricultural Simulator 2013 - Steam Edition,"Jun 7, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Actalogic,United Independent Entertainment GmbH
492,Chernobyl Commando,"Mar 8, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Silden,KISS ltd
506,Ultratron,"Mar 18, 2013",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Puppygames,Puppygames
507,Knytt Underground,"Oct 25, 2013",6.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Nifflas' Games,Ripstone
